"Date","Price","Open","High","Low","Vol.","Change %"
"01/21/2018","11,467.5","12,857.1","12,860.2","10,056.6","1.33M","-10.82%"
"01/28/2018","9,241.1","11,471.2","12,112.7","7,915.8","1.89M","-19.41%"
"02/04/2018","8,559.6","9,241.5","9,382.1","8,559.6","3.00M","-7.37%"
"02/11/2018","11,073.5","8,559.7","11,095.9","7,843.7","1.64M","29.37%"
"02/18/2018","9,704.3","11,073.7","11,791.5","9,394.5","1.93M","-12.36%"
"02/25/2018","11,402.3","9,703.1","11,420.7","9,330.1","1.41M","17.50%"
"03/04/2018","8,762.0","11,402.8","11,506.9","8,351.0","1.66M","-23.16%"
"03/11/2018","7,874.9","8,732.2","9,892.2","7,691.7","1.84M","-10.12%"
"03/18/2018","8,547.4","7,873.2","9,173.4","7,323.3","1.75M","8.54%"
"03/25/2018","6,938.2","8,549.1","8,679.0","6,603.8","1.80M","-18.83%"
"04/01/2018","6,905.7","6,939.1","7,519.3","6,460.1","1.50M","-0.47%"
"04/08/2018","8,004.4","6,905.9","8,228.0","6,633.2","1.51M","15.91%"
"04/15/2018","8,923.1","8,004.6","9,027.7","7,852.8","1.27M","11.48%"
"04/22/2018","9,352.4","8,923.6","9,753.1","8,669.8","1.60M","4.81%"
"04/29/2018","9,853.5","9,352.2","9,992.8","8,851.0","1.17M","5.36%"
"05/06/2018","8,459.5","9,859.4","9,957.7","8,184.1","1.26M","-14.15%"
"05/13/2018","8,245.1","8,483.6","8,758.4","8,055.5","1.14M","-2.53%"
"05/20/2018","7,361.3","8,243.9","8,597.4","7,293.4","1.08M","-10.72%"
"05/27/2018","7,646.6","7,361.9","7,694.5","7,069.8","984.53K","3.88%"
"06/03/2018","7,515.8","7,646.6","7,775.0","7,391.0","868.03K","-1.71%"
"06/10/2018","6,505.8","7,515.8","7,516.3","6,129.1","1.32M","-13.44%"
"06/17/2018","6,167.3","6,505.8","6,839.5","5,955.0","988.81K","-5.20%"
"06/24/2018","6,398.9","6,167.9","6,498.5","5,785.3","1.34M","3.76%"
"07/01/2018","6,765.5","6,398.5","6,805.9","6,398.5","1.03M","5.73%"
"07/08/2018","6,254.8","6,765.4","6,793.8","6,088.8","1.88M","-7.55%"
"07/15/2018","7,408.7","6,254.8","7,683.6","6,238.5","1.92M","18.45%"
"07/22/2018","8,234.1","7,409.0","8,484.6","7,343.7","1.80M","11.14%"
"07/29/2018","7,014.3","8,231.5","8,275.4","6,949.7","1.55M","-14.81%"
"08/05/2018","6,231.6","7,014.0","7,149.7","6,009.8","1.71M","-11.16%"
"08/12/2018","6,379.1","6,232.1","6,626.4","5,898.3","17.63M","2.37%"
"08/19/2018","6,734.8","6,379.1","6,840.8","6,255.9","20.84M","5.58%"
"08/26/2018","7,189.6","6,734.9","7,264.3","6,573.1","26.36M","6.75%"
"09/02/2018","6,184.3","7,189.6","7,409.9","6,132.3","26.79M","-13.98%"
"09/09/2018","6,519.0","6,184.3","6,867.3","6,148.8","22.18M","5.41%"
"09/16/2018","6,729.6","6,519.0","6,833.3","6,144.5","33.27M","3.23%"
"09/23/2018","6,603.9","6,729.6","6,809.2","5,977.0","59.02M","-1.87%"
"09/30/2018","6,596.3","6,603.9","6,682.3","6,034.9","64.74M","-0.12%"
"10/07/2018","6,321.7","6,596.3","6,699.5","6,206.2","907.69K","-4.16%"
"10/14/2018","6,572.2","6,321.6","7,358.4","6,300.0","1.21M","3.96%"
"10/21/2018","6,494.2","6,575.9","6,643.1","6,473.7","685.44K","-1.19%"
"10/28/2018","6,386.2","6,494.6","6,502.2","6,257.8","897.36K","-1.66%"
"11/04/2018","6,427.1","6,386.2","6,594.3","6,359.7","1.04M","0.64%"
"11/11/2018","5,621.8","6,427.1","6,475.9","5,384.1","1.64M","-12.53%"
"11/18/2018","3,920.4","5,621.0","5,727.9","3,821.5","2.69M","-30.26%"
"11/25/2018","4,196.2","3,920.3","4,440.1","3,634.2","3.46M","7.03%"
"12/02/2018","3,430.4","4,196.2","4,316.1","3,251.8","2.98M","-18.25%"
"12/09/2018","3,228.7","3,430.3","3,677.6","3,177.0","2.82M","-5.88%"
"12/16/2018","3,964.4","3,228.6","4,153.1","3,225.9","4.77M","22.79%"
"12/23/2018","3,706.8","3,964.3","4,208.2","3,560.8","4.18M","-6.50%"
"12/30/2018","3,785.4","3,708.2","3,894.8","3,658.8","3.52M","2.12%"
"01/06/2019","3,597.2","3,785.7","4,070.5","3,561.3","3.80M","-4.97%"
"01/13/2019","3,677.8","3,597.3","3,715.2","3,473.2","3.50M","2.24%"
"01/20/2019","3,570.9","3,676.2","3,699.1","3,465.2","3.16M","-2.91%"
"01/27/2019","3,502.5","3,570.9","3,583.2","3,368.2","3.68M","-1.92%"
"02/03/2019","3,661.4","3,502.3","3,721.1","3,382.5","3.78M","4.54%"
"02/10/2019","3,616.8","3,661.0","3,681.1","3,580.2","3.65M","-1.22%"
"02/17/2019","4,120.4","3,616.8","4,152.6","3,607.9","5.61M","13.92%"
"02/24/2019","3,823.1","4,120.5","4,194.2","3,701.9","12.42M","-7.21%"
"03/03/2019","3,944.3","3,823.2","3,964.0","3,681.8","19.19M","3.17%"
"03/10/2019","4,006.4","3,944.4","4,050.6","3,817.1","19.44M","1.57%"
"03/17/2019","4,002.5","4,006.4","4,064.0","3,923.8","20.06M","-0.10%"
"03/24/2019","4,111.8","4,002.6","4,138.1","3,897.9","19.14M","2.73%"
"03/31/2019","5,046.2","4,111.8","5,278.4","4,076.8","36.99M","22.73%"
"04/07/2019","5,051.8","5,046.1","5,404.1","4,889.2","5.83M","0.11%"
"04/14/2019","5,290.2","5,052.0","5,327.0","4,964.2","4.90M","4.72%"
"04/21/2019","5,265.9","5,290.2","5,594.4","5,137.4","6.56M","-0.46%"
"04/28/2019","5,830.9","5,265.7","5,899.2","5,188.9","5.56M","10.73%"
"05/05/2019","7,190.3","5,830.8","7,373.8","5,630.5","5.78M","23.31%"
"05/12/2019","7,262.6","7,190.0","8,323.9","6,802.6","9.03M","1.01%"
"05/19/2019","8,027.4","7,261.9","8,253.4","7,252.3","6.20M","10.53%"
"05/26/2019","8,545.7","8,029.6","9,045.9","7,866.5","20.69M","6.46%"
"06/02/2019","7,901.4","8,545.8","8,807.7","7,480.4","4.88M","-7.54%"
"06/09/2019","8,812.5","7,901.6","8,856.7","7,516.9","4.24M","11.53%"
"06/16/2019","10,721.7","8,812.2","11,160.5","8,771.1","5.15M","21.66%"
"06/23/2019","11,906.5","10,721.5","13,929.8","10,493.5","7.21M","11.05%"
"06/30/2019","11,268.0","11,906.0","12,179.3","9,728.5","6.41M","-5.36%"
"07/07/2019","11,364.9","11,267.9","13,134.4","10,839.4","5.64M","0.86%"
"07/14/2019","10,826.7","11,364.3","11,448.7","9,082.6","6.29M","-4.74%"
"07/21/2019","9,492.1","10,827.0","10,883.8","9,389.1","4.02M","-12.33%"
"07/28/2019","10,815.7","9,491.1","10,893.6","9,401.1","3.89M","13.94%"
"08/04/2019","11,314.5","10,816.1","12,291.9","10,568.8","4.55M","4.61%"
"08/11/2019","10,218.1","11,314.6","11,728.4","9,580.1","4.62M","-9.69%"
"08/18/2019","10,131.0","10,219.3","10,941.6","9,777.0","3.57M","-0.85%"
"08/25/2019","9,594.4","10,132.1","10,568.2","9,343.0","3.29M","-5.30%"
"09/01/2019","10,461.1","9,594.7","10,896.2","9,533.6","3.62M","9.03%"
"09/08/2019","10,337.3","10,461.6","10,578.0","9,908.9","2.74M","-1.18%"
"09/15/2019","9,993.0","10,337.3","10,360.5","9,707.6","2.51M","-3.33%"
"09/22/2019","8,208.5","9,993.0","10,075.0","7,773.6","4.23M","-17.86%"
"09/29/2019","8,127.3","8,208.0","8,486.2","7,749.0","3.23M","-0.99%"
"10/06/2019","8,304.4","8,127.3","8,751.1","7,797.0","4.00M","2.18%"
"10/13/2019","7,957.3","8,304.3","8,450.2","7,842.0","3.38M","-4.18%"
"10/20/2019","9,230.6","7,957.4","10,540.0","7,329.2","4.23M","16.00%"
"10/27/2019","9,300.6","9,230.6","9,866.9","8,959.6","6.08M","0.76%"
"11/03/2019","8,804.5","9,300.5","9,500.4","8,722.4","4.63M","-5.33%"
"11/10/2019","8,497.3","8,804.7","9,092.9","8,437.1","4.02M","-3.49%"
"11/17/2019","7,324.1","8,497.4","8,631.7","6,818.5","6.19M","-13.81%"
"11/24/2019","7,546.6","7,325.0","7,825.3","6,534.8","6.29M","3.04%"
"12/01/2019","7,510.9","7,546.5","7,702.2","7,113.6","5.17M","-0.47%"
"12/08/2019","7,080.8","7,510.8","7,626.0","7,043.3","3.88M","-5.73%"
"12/15/2019","7,156.2","7,080.8","7,387.7","6,462.2","5.22M","1.07%"
"12/22/2019","7,321.5","7,156.3","7,684.0","7,128.5","5.29M","2.31%"
"12/29/2019","7,376.8","7,321.6","7,518.9","6,884.1","4.70M","0.75%"
"01/05/2020","8,024.1","7,376.8","8,436.4","7,345.6","6.53M","8.78%"
"01/12/2020","8,916.3","8,023.3","9,005.1","7,973.1","6.33M","11.12%"
"01/19/2020","8,341.6","8,916.3","9,183.7","8,242.6","4.60M","-6.45%"
"01/26/2020","9,381.6","8,341.6","9,569.0","8,304.9","4.89M","12.47%"
"02/02/2020","9,895.5","9,381.5","9,931.2","9,381.5","4.78M","5.48%"
"02/09/2020","9,907.7","9,895.4","10,482.6","9,725.1","5.39M","0.12%"
"02/16/2020","9,655.7","9,907.4","10,230.9","9,424.3","5.93M","-2.54%"
"02/23/2020","8,543.7","9,655.6","9,981.0","8,451.9","7.28M","-11.52%"
"03/01/2020","8,887.8","8,543.8","9,180.8","8,437.2","6.44M","4.03%"
"03/08/2020","5,182.7","8,887.8","8,888.0","3,869.5","16.09M","-41.69%"
"03/15/2020","6,186.2","5,182.9","6,858.1","4,477.7","14.45M","19.36%"
"03/22/2020","6,233.7","6,186.9","6,930.2","5,710.8","10.15M","0.77%"
"03/29/2020","6,857.4","6,233.2","7,182.7","5,872.5","9.18M","10.01%"
"04/05/2020","6,867.8","6,857.5","7,440.3","6,686.0","8.36M","0.15%"
"04/12/2020","7,230.8","6,867.9","7,259.4","6,520.5","7.48M","5.29%"
"04/19/2020","7,540.4","7,230.9","7,684.6","6,771.2","12.22M","4.28%"
"04/26/2020","8,966.3","7,540.4","9,437.5","7,520.5","8.77M","18.91%"
"05/03/2020","9,554.6","8,966.2","10,033.0","8,553.2","9.63M","6.56%"
"05/10/2020","9,379.5","9,553.9","9,887.5","8,235.6","12.52M","-1.83%"
"05/17/2020","9,177.0","9,376.6","9,930.2","8,833.6","7.89M","-2.16%"
"05/24/2020","9,692.5","9,177.9","9,729.9","8,666.1","6.17M","5.62%"
"05/31/2020","9,669.6","9,692.9","10,301.8","9,347.3","4.72M","-0.24%"
"06/07/2020","9,471.3","9,669.6","9,970.9","9,139.1","3.94M","-2.05%"
"06/14/2020","9,358.8","9,470.7","9,577.1","8,925.6","3.38M","-1.19%"
"06/21/2020","9,008.3","9,358.8","9,751.9","8,865.3","3.24M","-3.74%"
"06/28/2020","9,134.4","9,008.4","9,289.0","8,950.2","2.61M","1.40%"
"07/05/2020","9,233.3","9,134.3","9,458.3","8,932.1","3.03M","1.08%"
"07/12/2020","9,170.2","9,234.2","9,337.8","9,052.0","2.76M","-0.68%"
"07/19/2020","9,704.1","9,170.1","9,729.3","9,106.4","2.56M","5.82%"
"07/26/2020","11,803.1","10,961.1","11,847.7","10,771.8","4.12M","21.63%"
"08/02/2020","11,764.3","11,802.6","12,061.1","10,730.7","3.74M","-0.33%"
"08/09/2020","11,845.3","11,764.4","12,041.1","11,146.7","3.46M","0.69%"
"08/16/2020","11,661.3","11,845.5","12,444.1","11,382.1","3.65M","-1.55%"
"08/23/2020","11,468.1","11,661.1","11,824.6","11,131.0","3.40M","-1.66%"
"08/30/2020","10,092.2","11,468.1","12,045.9","9,897.8","56.56M","-12.00%"
"09/06/2020","10,441.9","10,092.2","10,480.3","9,877.1","24.92M","3.47%"
"09/13/2020","11,081.8","10,441.7","11,177.1","10,219.4","552.84K","6.13%"
"09/20/2020","10,727.9","11,081.6","11,081.6","10,146.6","521.93K","-3.19%"
"09/27/2020","10,544.2","10,727.9","10,946.6","10,387.6","473.68K","-1.71%"
"10/04/2020","11,298.4","10,544.4","11,475.0","10,520.8","415.50K","7.15%"
"10/11/2020","11,362.1","11,295.6","11,715.9","11,224.6","458.66K","0.56%"
"10/18/2020","13,117.2","11,362.1","13,213.5","11,349.8","649.57K","15.45%"
"10/25/2020","13,797.3","13,117.0","14,065.4","12,792.4","737.16K","5.18%"
"11/01/2020","14,828.4","13,795.5","15,955.2","13,214.2","969.23K","7.47%"
"11/08/2020","16,071.0","14,826.6","16,474.1","14,720.7","849.61K","8.38%"
"11/15/2020","18,687.2","16,074.7","18,966.0","15,782.3","985.86K","16.28%"
"11/22/2020","17,730.7","18,394.6","19,486.7","16,235.2","1.15M","-5.12%"
"11/29/2020","19,146.5","17,729.7","19,897.4","17,530.4","883.70K","7.99%"
"12/06/2020","18,808.9","19,146.0","19,424.6","17,600.1","642.93K","-1.76%"
"12/13/2020","23,844.0","18,808.1","24,107.1","18,716.8","1.01M","26.77%"
"12/20/2020","26,454.4","23,843.6","26,826.0","22,015.5","805.84K","10.95%"
"12/27/2020","32,193.3","26,460.3","33,233.5","25,858.2","962.22K","21.69%"
"01/03/2021","40,151.9","32,192.9","41,921.7","28,204.5","1.57M","24.72%"
"01/10/2021","36,019.5","40,149.7","41,362.4","30,411.6","1.40M","-10.29%"
"01/17/2021","32,088.9","36,020.1","37,821.0","28,871.2","1.14M","-10.91%"
"01/24/2021","34,283.1","32,088.5","38,546.0","29,290.4","1.38M","6.84%"
"01/31/2021","39,256.6","34,281.6","40,939.7","32,189.9","844.34K","14.51%"
"02/07/2021","47,168.7","39,228.9","48,927.4","37,381.6","1.12M","20.16%"
"02/14/2021","55,923.7","47,172.1","57,523.8","45,786.1","880.27K","18.56%"
"02/21/2021","46,136.7","55,907.6","58,335.1","44,248.2","1.08M","-17.50%"
"02/28/2021","48,855.6","46,136.0","52,567.9","43,100.6","647.90K","5.89%"
"03/07/2021","61,195.3","48,899.0","61,795.8","48,890.6","726.92K","25.26%"
"03/14/2021","58,093.4","61,192.7","61,673.7","53,342.6","705.78K","-5.07%"
"03/21/2021","55,862.9","58,097.4","58,583.8","50,441.3","736.81K","-3.84%"
"03/28/2021","57,059.9","55,856.9","60,134.9","54,711.3","551.09K","2.14%"
"04/04/2021","59,748.4","57,059.7","61,229.0","55,489.3","478.37K","4.71%"
"04/11/2021","60,041.9","59,772.4","64,778.0","59,250.3","738.10K","0.49%"
"04/18/2021","50,088.9","60,043.2","60,362.1","47,659.4","1.12M","-16.58%"
"04/25/2021","57,807.1","50,088.2","58,449.4","47,098.5","650.34K","15.41%"
"05/02/2021","58,840.1","57,807.2","59,471.1","53,741.5","714.62K","1.79%"
"05/09/2021","46,708.8","58,840.6","59,523.9","46,331.1","971.69K","-20.62%"
"05/16/2021","37,448.3","46,729.3","49,764.3","30,261.7","2.10M","-19.83%"
"05/23/2021","34,584.6","37,446.8","40,750.0","31,192.4","1.36M","-7.65%"
"05/30/2021","35,520.0","34,589.3","39,462.3","33,441.0","795.23K","2.70%"
"06/06/2021","35,467.5","35,518.7","38,340.8","31,158.1","955.16K","-0.15%"
"06/13/2021","35,513.4","35,467.5","41,318.0","34,827.0","869.90K","0.13%"
"06/20/2021","32,243.4","35,510.9","36,097.9","28,901.8","1.38M","-9.21%"
"06/27/2021","34,742.8","32,247.1","36,590.3","32,041.7","644.50K","7.75%"
"07/04/2021","33,510.6","34,742.8","35,957.6","32,146.9","538.72K","-3.55%"
"07/11/2021","31,518.6","33,510.8","34,598.0","31,062.2","444.39K","-5.94%"
"07/18/2021","33,824.8","31,517.9","33,955.0","29,310.2","547.54K","7.32%"
"07/25/2021","41,553.7","34,392.5","42,285.3","33,881.3","772.12K","22.85%"
"08/01/2021","44,614.2","41,510.0","44,697.3","37,365.4","480.25K","7.37%"
"08/08/2021","47,081.5","44,584.9","48,090.9","42,824.1","603.00K","5.53%"
"08/15/2021","48,875.8","47,082.6","49,719.1","43,986.7","404.44K","3.81%"
"08/22/2021","48,897.1","48,870.4","50,498.8","46,360.4","455.60K","0.04%"
"08/29/2021","49,918.4","48,899.7","51,008.8","46,533.1","503.54K","2.09%"
"09/05/2021","45,161.9","49,918.7","52,885.3","43,072.4","635.39K","-9.53%"
"09/12/2021","48,306.7","45,162.6","48,761.0","43,463.2","428.09K","6.96%"
"09/19/2021","42,686.8","48,299.9","48,341.9","39,646.8","682.37K","-11.63%"
"09/26/2021","47,666.9","42,685.8","48,435.2","40,786.6","486.08K","11.67%"
"10/03/2021","54,942.5","47,665.4","55,977.9","46,958.6","506.29K","15.26%"
"10/10/2021","60,861.1","54,942.5","62,892.8","54,100.8","628.28K","10.77%"
"10/17/2021","61,312.5","60,865.5","66,967.1","59,143.4","545.11K","0.74%"
"10/24/2021","61,840.1","61,308.2","63,694.8","58,112.6","449.83K","0.86%"
"10/31/2021","61,483.9","61,842.2","64,256.4","59,612.7","375.25K","-0.58%"
"11/07/2021","64,398.6","61,483.8","68,990.6","61,347.2","451.59K","4.74%"
"11/14/2021","59,717.6","64,397.2","66,311.2","55,626.3","521.73K","-7.27%"
"11/21/2021","54,765.9","59,724.0","60,002.6","53,533.5","512.69K","-8.29%"
"11/28/2021","49,195.2","54,758.0","59,174.4","42,587.8","485.37K","-10.17%"
"12/05/2021","49,314.5","49,196.4","51,918.6","46,834.0","470.49K","0.24%"
"12/12/2021","46,856.2","49,332.5","50,779.2","45,513.4","446.80K","-4.98%"
"12/19/2021","50,406.4","46,855.7","51,795.3","45,577.3","343.62K","7.58%"
"12/26/2021","47,738.0","50,404.0","52,016.3","45,693.6","391.96K","-5.29%"
"01/02/2022","41,672.0","47,738.7","47,944.9","40,574.3","446.80K","-12.71%"
"01/09/2022","43,097.0","41,681.2","44,404.7","39,697.0","391.26K","3.42%"
"01/16/2022","35,075.2","43,079.2","43,487.1","34,116.0","541.76K","-18.61%"
"01/23/2022","38,170.8","35,072.9","38,862.6","32,985.6","630.11K","8.83%"
"01/30/2022","41,412.1","38,167.5","41,899.8","36,297.3","451.36K","8.49%"
"02/06/2022","42,205.2","41,411.9","45,755.2","41,176.3","473.29K","1.92%"
"02/13/2022","40,090.3","42,205.5","44,722.6","39,505.0","376.77K","-5.01%"
"02/20/2022","39,115.5","40,089.6","40,120.3","34,357.4","635.91K","-2.43%"
"02/27/2022","39,395.8","39,116.6","45,294.2","37,062.3","6.23B","0.72%"
"03/06/2022","38,814.3","39,396.3","42,538.5","37,182.1","20.31B","-1.48%"
"03/13/2022","42,233.0","38,813.2","42,386.0","37,603.4","17.07B","8.81%"
"03/20/2022","44,548.0","42,241.0","45,112.0","40,530.0","3.16B","5.48%"
"03/27/2022","45,811.0","44,542.0","48,199.0","44,261.0","3.66B","2.84%"
"04/03/2022","42,767.0","45,813.0","47,435.0","42,113.0","3.23B","-6.64%"
"04/10/2022","40,382.0","42,760.0","43,421.0","39,202.0","2.49B","-5.58%"
"04/17/2022","39,418.0","40,382.0","42,969.0","38,577.0","2.66B","-2.39%"
"04/24/2022","37,650.0","39,434.0","40,770.0","37,596.0","3.35B","-4.49%"
"05/01/2022","35,468.0","37,642.0","40,021.0","34,773.0","4.43B","-5.80%"
"05/08/2022","30,080.4","35,468.0","35,497.0","26,500.5","672.43M","-15.19%"
